company_cd,pipeline_id,project_name,field_code,service_code,manager_id,customer_id,ordering_party_id,current_stage,quoted_amount,notes
KLCUBE,2025-003,현대캐피탈 LLM 기반 인바운드 AI음성봇 구축,,,함영민,596,597,S05,,"* 구축 현황
  - 아웃바운드콜봇 : 한솔인티큐브 구축
  - AI챗봇 : 마인드웨어웍스 구축

* 사업 일정 요약
  - 계약기간(예상) : 2025.04.15 ~ 2025.11.28
  - RFP발송 : 3/20(목)
  - 제안서 접수/마감 : 4/1(화) 18:00 
  - 제안발표회 : 4/2(수)
  - 우선협상대상자 업체 선정 : 4/2(수) 이후"
KLCUBE,2025-004,평택시청 AI 기반 민원분석시스템 구축,,,함영민,598,599,S01,,KT평택지사 권순철 차장 담당
KLCUBE,2025-005,KT EasyCMS(봇프레임웍) 운영유지보수 지명 입찰,,,함영민,597,,S03,,
KLCUBE,2025-006,KDB생명 콜센터 실시간 STT 구축,,,함영민,600,601,S02,,
KLCUBE,2025-007,중앙전파관리소 방송 프로그램 심의 분석 구축 사업(STT 부문 참여),,,함영민,602,601,S03,,* 차후 H/W서버 권장 사양 및 수량 등 구성 재확인
KLCUBE,2025-008,국민건강보험공단 정신건강 복지서비스 정보시스템 구축 사업,,,박현우,603,604,S02,,
KLCUBE,2025-009,현대백화점 상담시스템 통합 및 고도화,,,박현우,605,606,S02,,
KLCUBE,2025-010,한국무역보험공사 RPA 적용 챗봇 구축,,,박현우,607,608,S02,,
KLCUBE,2025-011,다날 챗봇 서비스 구축,,,박현우,609,609,S01,,
KLCUBE,2025-012,"120다산콜재단 AICC 3단계, 통합 인공지능 상담 시스템",,,박현우,610,606,S02,,
KLCUBE,2025-013,흥국화재 AI 음성봇 구축,,,박현우,611,606,S01,,
KLCUBE,2025-014,AXA손해보험 KMS 검색엔진 구축,,,박현우,612,606,S02,,
KLCUBE,2025-015,한국도로교통공단 STT 유지보수,,,오민규,594,613,S09,16302,
KLCUBE,2025-016,한국관광공사 열린관광지포탈 및 오디(ODII)외 수어서비스제안,,,양승구,614,614,S02,,
KLCUBE,2025-017,식품안전정보원 '25년 식품 스마트 푸드QR 지원사업,,,임철현,564,564,S08,,
KLCUBE,2025-018,남원시 어울림도서관 체험관 DID형 수어체험시스템구축,,,심재홍,615,616,S01,,
KLCUBE,2025-019,라스테크(주) 생산 키오스크 및 로봇 답재용 수어서비스 제안,,,심재홍,617,617,S02,,
KLCUBE,2025-020,아마노코리아 무인주차시스템 수어서비스 제안,,,심재홍,618,619,S01,,
KLCUBE,2025-021,국립과천과학관 포탈시스템 재구축 및 클라우드 전환 입찰,,,심재홍,620,621,S06,,
KLCUBE,2025-022,신세계 스타필드 기존 및 신규 안내 키오스크 배리어프리 키오스크 교체계획,,,임철현,622,619,S05,,
KLCUBE,2025-023,연금보험공단 AI휴먼 활용 대국민 뉴스외 수어서비스적용 검토,,,양승구,623,623,S01,,
KLCUBE,2025-024,소다미술관 전시정보 수어서비스 사업제안,,,오민규,624,624,S01,,
KLCUBE,2025-025,AIA생명보험 포털시스템 구축(수어서비스 추가제안),,,양승구,625,626,S01,,
KLCUBE,2025-026,"KB증권 웹, 모바일서비스內 생성형 AI기반 수어서비스적용 검토",,,양승구,627,627,S01,,
KLCUBE,2025-027,"제주도교육청 320여개 초,중등 대상 홈페이지 및 키오스크 수어서비스 제안",,,오민규,628,629,S01,,
KLCUBE,2025-028,한국철도공사(코레일) 신형자동발매기內 수어서비스적용,,,오민규,630,631,S08,,
KLCUBE,2025-029,LG그룹 계열사대상 수어서비스 적용 제안 진행중,,,오민규,632,633,S01,,
KLCUBE,2025-030,GS칼텍스 주유소 운영 SW 혁신 프로젝트 수어서비스,,,오민규,634,635,S08,,
KLCUBE,2025-031,- 전국 지자체 문화축제 수어서비스 적용 제안사업,,,양승구,636,636,S01,,
KLCUBE,2025-032,- (주)채움씨앤아이 도서관용 로봇 수어서비스 제안,,,심재홍,637,637,S01,,
KLCUBE,2025-033,KB국민은행 수어번역서비스,,,함영민,567,638,S02,,* 계약라인업 : KB국민은행 < SK쉴더스 < LG CNS
KLCUBE,2025-034,부천도시공사 수어번역서비스 제안,,,함영민,639,639,S01,,
KLCUBE,2025-035,남양주도시공사 수어번역서비스 제안,,,함영민,640,640,S01,,
KLCUBE,2025-036,현대백화점 수어번역서비스 키오스크 적용,,,함영민,605,641,S03,,
KLCUBE,2025-037,카카오뱅크  AI수어상담 3D 아바타 및 영상제작,,,양승구,589,642,S08,,함영민
KLCUBE,2025-038,웅진씽크빅 디지털교과서 수어번역서비스 제안,,,함영민,643,643,S01,,
KLCUBE,2025-039,KB저축은행 수어번역서비스 적용,,,함영민,644,638,S01,,
KLCUBE,2025-040,KB국민카드 수어번역서비스,,,함영민,645,638,S01,,
KLCUBE,2025-041,CU 편의점 모바일앱 수어번역서비스,,,함영민,646,646,S01,,
KLCUBE,2025-042,연구개발특구진흥재단 수어번역서비스,,,함영민,647,647,S01,,
KLCUBE,2025-043,식품안전정보원 홈페이지 기본 안내 설명 수어 자막 서비스,,,함영민,564,564,S02,,
KLCUBE,2025-044,건물관리 분야 수어번역서비스 보급 확산,,,임철현,648,648,S01,,
KLCUBE,2025-045,2025년 테스트베드 서울 실증 지원사업(서울의료원),,,임철현,572,649,S07,,
KLCUBE,2025-046,롯데백화점 기존 매장안내 키오스크 수어서비스 업그레이드 사업,,,오민규,650,619,S02,,
KLCUBE,2025-047,NH농협은행 창구혁신 운영을 위한 수어서비스,,,양승구,651,593,S08,,
KLCUBE,2025-048,IBK기업은행 화상상담시스템 구축 및 디지털데스크 도입 사업,,,양승구,652,653,S08,,
KLCUBE,2025-049,서울시청 장애인편의증진팀 협업사업 발굴 영업진행,,,양승구,654,654,S03,,
KLCUBE,2025-050,국립국악원 국악 아카이브 포털 및 공연 영상자료 수어서비스 적용 제안,,,오민규,655,655,S03,,
KLCUBE,2025-051,(주)브리지텍_토스뱅크 콜 인프라 재구축 사업중 수어서비스 추가제안,,,오민규,656,657,S03,60000,
KLCUBE,2025-052,우리은행 3개지점 AI브랜치 시범사업 구축사업,,,오민규,658,659,S01,,
